event_id,location,time_start,time_end,direction,class,footage_id
48,garbary,2025-08-06 14:35:36.540,2025-08-06 14:35:39.500,left,truck,garbary_06-08-14-24
49,garbary,2025-08-06 14:37:38.980,2025-08-06 14:37:40.940,left,truck,garbary_06-08-14-24
50,garbary,2025-08-06 14:37:43.700,2025-08-06 14:37:43.700,unknown,tram,garbary_06-08-14-24
51,garbary,2025-08-06 14:39:16.480,2025-08-06 14:39:16.960,left,truck,garbary_06-08-14-24
52,garbary,2025-08-06 14:39:25.580,2025-08-06 14:39:25.580,unknown,truck,garbary_06-08-14-24
53,garbary,2025-08-06 14:39:27.560,2025-08-06 14:39:27.560,unknown,truck,garbary_06-08-14-24
54,garbary,2025-08-06 14:40:43.860,2025-08-06 14:40:44.120,unknown,tram,garbary_06-08-14-24
55,garbary,2025-08-06 14:40:58.780,2025-08-06 14:40:58.880,left,truck,garbary_06-08-14-24
56,garbary,2025-08-06 14:42:46.140,2025-08-06 14:42:48.920,left,truck,garbary_06-08-14-24
57,garbary,2025-08-06 14:43:23.740,2025-08-06 14:43:25.040,left,truck,garbary_06-08-14-24
58,garbary,2025-08-06 14:47:09.920,2025-08-06 14:47:09.960,left,truck,garbary_06-08-14-24
59,garbary,2025-08-06 14:50:25.180,2025-08-06 14:50:26.580,left,tram,garbary_06-08-14-24
60,most_mieszka,2025-08-06 12:50:29.340,2025-08-06 12:50:29.920,right,truck,most_mieszka_06-08-12-50
61,most_mieszka,2025-08-06 12:50:35.840,2025-08-06 12:50:36.580,right,truck,most_mieszka_06-08-12-50
62,most_mieszka,2025-08-06 12:53:09.500,2025-08-06 12:53:19.360,right,tram,most_mieszka_06-08-12-50
63,most_mieszka,2025-08-06 12:54:37.840,2025-08-06 12:54:37.880,right,truck,most_mieszka_06-08-12-50
64,most_mieszka,2025-08-06 12:54:44.260,2025-08-06 12:54:44.820,right,truck,most_mieszka_06-08-12-50
65,most_mieszka,2025-08-06 12:54:46.180,2025-08-06 12:54:47.520,right,truck,most_mieszka_06-08-12-50
66,most_mieszka,2025-08-06 12:55:22.260,2025-08-06 12:55:23.100,right,truck,most_mieszka_06-08-12-50
67,most_mieszka,2025-08-06 12:56:20.280,2025-08-06 12:56:26.180,right,tram,most_mieszka_06-08-12-50
68,most_mieszka,2025-08-06 12:56:38.320,2025-08-06 12:56:38.440,left,truck,most_mieszka_06-08-12-50
69,most_mieszka,2025-08-06 12:58:09.280,2025-08-06 12:58:18.300,right,tram,most_mieszka_06-08-12-50
70,most_mieszka,2025-08-06 12:59:31.100,2025-08-06 12:59:31.100,unknown,truck,most_mieszka_06-08-12-50
71,most_mieszka,2025-08-06 12:59:45.400,2025-08-06 12:59:55.200,left,tram,most_mieszka_06-08-12-50
72,most_mieszka,2025-08-06 13:00:18.680,2025-08-06 13:00:21.860,left,tram,most_mieszka_06-08-12-50
73,most_mieszka,2025-08-06 13:01:04.120,2025-08-06 13:01:04.180,right,truck,most_mieszka_06-08-12-50
74,most_mieszka,2025-08-06 13:01:28.520,2025-08-06 13:01:29.280,left,tram,most_mieszka_06-08-12-50
75,most_mieszka,2025-08-06 13:02:02.880,2025-08-06 13:02:03.780,right,truck,most_mieszka_06-08-12-50
76,most_mieszka,2025-08-06 13:02:07.840,2025-08-06 13:02:08.500,right,truck,most_mieszka_06-08-12-50
77,most_mieszka,2025-08-06 13:03:37.600,2025-08-06 13:03:37.620,unknown,truck,most_mieszka_06-08-12-50
78,most_mieszka,2025-08-06 13:03:48.240,2025-08-06 13:03:54.600,left,tram,most_mieszka_06-08-12-50
79,most_mieszka,2025-08-06 13:04:38.720,2025-08-06 13:04:38.980,right,truck,most_mieszka_06-08-12-50
80,most_mieszka,2025-08-06 13:05:37.920,2025-08-06 13:05:47.540,right,tram,most_mieszka_06-08-12-50
81,most_mieszka,2025-08-06 13:05:51.700,2025-08-06 13:05:51.860,right,truck,most_mieszka_06-08-12-50
82,most_mieszka,2025-08-06 13:07:07.840,2025-08-06 13:07:07.880,right,truck,most_mieszka_06-08-12-50
83,most_mieszka,2025-08-06 13:07:20.760,2025-08-06 13:07:20.800,unknown,truck,most_mieszka_06-08-12-50
84,most_mieszka,2025-08-06 13:07:30.600,2025-08-06 13:07:30.940,right,truck,most_mieszka_06-08-12-50
85,most_mieszka,2025-08-06 13:08:23.460,2025-08-06 13:08:24.500,right,truck,most_mieszka_06-08-12-50
86,most_mieszka,2025-08-06 13:08:47.940,2025-08-06 13:08:48.700,right,truck,most_mieszka_06-08-12-50
87,most_mieszka,2025-08-06 13:09:00.080,2025-08-06 13:09:00.340,right,truck,most_mieszka_06-08-12-50
88,most_mieszka,2025-08-06 13:09:55.700,2025-08-06 13:10:06.800,right,truck,most_mieszka_06-08-12-50
89,most_mieszka,2025-08-06 13:10:24.340,2025-08-06 13:10:24.340,unknown,truck,most_mieszka_06-08-12-50
90,most_mieszka,2025-08-06 13:10:46.120,2025-08-06 13:10:46.480,right,truck,most_mieszka_06-08-12-50
91,most_mieszka,2025-08-06 13:10:50.060,2025-08-06 13:10:50.520,right,truck,most_mieszka_06-08-12-50
92,most_mieszka,2025-08-06 13:11:05.120,2025-08-06 13:11:05.380,right,truck,most_mieszka_06-08-12-50
93,most_mieszka,2025-08-06 13:11:24.880,2025-08-06 13:11:25.140,right,truck,most_mieszka_06-08-12-50
94,most_mieszka,2025-08-06 13:11:41.320,2025-08-06 13:11:41.620,right,truck,most_mieszka_06-08-12-50
95,most_mieszka,2025-08-06 13:13:28.000,2025-08-06 13:13:28.140,left,truck,most_mieszka_06-08-12-50
96,most_mieszka,2025-08-06 13:13:29.860,2025-08-06 13:13:33.660,right,tram,most_mieszka_06-08-12-50
97,most_mieszka,2025-08-06 13:13:51.140,2025-08-06 13:14:01.280,left,tram,most_mieszka_06-08-12-50
98,most_mieszka,2025-08-06 13:14:06.180,2025-08-06 13:14:07.860,right,truck,most_mieszka_06-08-12-50
99,most_mieszka,2025-08-06 13:14:57.660,2025-08-06 13:14:58.020,right,truck,most_mieszka_06-08-12-50
100,most_mieszka,2025-08-06 13:15:07.480,2025-08-06 13:15:07.980,right,truck,most_mieszka_06-08-12-50
101,most_mieszka,2025-08-06 13:15:53.660,2025-08-06 13:15:53.660,unknown,truck,most_mieszka_06-08-12-50
102,most_mieszka,2025-08-06 13:16:36.400,2025-08-06 13:16:44.600,left,tram,most_mieszka_06-08-12-50
103,most_mieszka,2025-08-06 13:17:02.200,2025-08-06 13:17:03.720,right,truck,most_mieszka_06-08-12-50
104,most_mieszka,2025-08-06 13:17:10.660,2025-08-06 13:17:10.740,unknown,truck,most_mieszka_06-08-12-50
105,most_mieszka,2025-08-06 13:17:21.260,2025-08-06 13:17:21.260,unknown,truck,most_mieszka_06-08-12-50
106,most_mieszka,2025-08-06 13:18:09.780,2025-08-06 13:18:11.120,left,tram,most_mieszka_06-08-12-50
107,most_mieszka,2025-08-06 13:18:22.380,2025-08-06 13:18:24.900,left,truck,most_mieszka_06-08-12-50
108,most_mieszka,2025-08-06 13:18:38.860,2025-08-06 13:18:40.880,right,truck,most_mieszka_06-08-12-50
109,most_mieszka,2025-08-06 13:19:38.540,2025-08-06 13:19:38.620,unknown,truck,most_mieszka_06-08-12-50
110,most_mieszka,2025-08-06 13:19:48.180,2025-08-06 13:19:48.740,right,truck,most_mieszka_06-08-12-50
111,most_mieszka,2025-08-06 13:22:00.760,2025-08-06 13:22:03.800,right,tram,most_mieszka_06-08-13-20
112,most_mieszka,2025-08-06 13:23:59.400,2025-08-06 13:24:07.960,left,tram,most_mieszka_06-08-13-20
113,most_mieszka,2025-08-06 13:24:21.140,2025-08-06 13:24:29.840,right,tram,most_mieszka_06-08-13-20
114,most_mieszka,2025-08-06 13:25:03.380,2025-08-06 13:25:03.380,unknown,truck,most_mieszka_06-08-13-20
115,most_mieszka,2025-08-06 13:26:12.040,2025-08-06 13:26:12.040,unknown,truck,most_mieszka_06-08-13-20
116,most_mieszka,2025-08-06 13:26:20.420,2025-08-06 13:26:20.460,unknown,truck,most_mieszka_06-08-13-20
117,most_mieszka,2025-08-06 13:26:30.840,2025-08-06 13:26:34.280,right,truck,most_mieszka_06-08-13-20
118,most_mieszka,2025-08-06 13:26:47.880,2025-08-06 13:26:57.500,right,tram,most_mieszka_06-08-13-20
119,most_mieszka,2025-08-06 13:28:09.640,2025-08-06 13:28:18.540,left,tram,most_mieszka_06-08-13-20
120,most_mieszka,2025-08-06 13:29:17.540,2025-08-06 13:29:17.560,unknown,truck,most_mieszka_06-08-13-20
121,most_mieszka,2025-08-06 13:29:30.280,2025-08-06 13:29:30.580,right,truck,most_mieszka_06-08-13-20
122,pcss,2025-08-06 11:36:09.440,2025-08-06 11:36:09.920,right,truck,pcss_06-08-11-36
123,pcss,2025-08-06 11:36:17.640,2025-08-06 11:36:22.380,right,truck,pcss_06-08-11-36
124,pcss,2025-08-06 11:36:35.900,2025-08-06 11:36:36.720,right,truck,pcss_06-08-11-36
125,pcss,2025-08-06 11:36:51.700,2025-08-06 11:36:52.620,right,truck,pcss_06-08-11-36
126,pcss,2025-08-06 11:36:52.500,2025-08-06 11:36:54.120,right,tram,pcss_06-08-11-36
128,pcss,2025-08-06 11:37:11.320,2025-08-06 11:37:12.800,right,truck,pcss_06-08-11-36
129,pcss,2025-08-06 11:37:13.960,2025-08-06 11:37:14.640,right,truck,pcss_06-08-11-36
130,pcss,2025-08-06 11:38:27.580,2025-08-06 11:38:28.260,right,truck,pcss_06-08-11-36
131,pcss,2025-08-06 11:38:33.920,2025-08-06 11:38:34.680,right,truck,pcss_06-08-11-36
132,pcss,2025-08-06 11:38:37.760,2025-08-06 11:38:37.760,unknown,truck,pcss_06-08-11-36
133,pcss,2025-08-06 11:40:00.700,2025-08-06 11:40:00.720,unknown,truck,pcss_06-08-11-36
134,pcss,2025-08-06 11:40:09.080,2025-08-06 11:40:09.080,unknown,truck,pcss_06-08-11-36
135,pcss,2025-08-06 11:40:24.300,2025-08-06 11:40:24.600,right,truck,pcss_06-08-11-36
136,pcss,2025-08-06 11:40:30.560,2025-08-06 11:40:34.540,right,truck,pcss_06-08-11-36
137,pcss,2025-08-06 11:40:33.460,2025-08-06 11:40:38.080,right,truck,pcss_06-08-11-36
138,pcss,2025-08-06 11:40:50.180,2025-08-06 11:40:51.680,right,tram,pcss_06-08-11-36
140,pcss,2025-08-06 11:41:06.420,2025-08-06 11:41:06.420,unknown,tram,pcss_06-08-11-36
139,pcss,2025-08-06 11:41:04.880,2025-08-06 11:41:06.640,left,tram,pcss_06-08-11-36
141,pcss,2025-08-06 11:41:07.640,2025-08-06 11:41:08.340,left,tram,pcss_06-08-11-36
142,pcss,2025-08-06 11:42:04.760,2025-08-06 11:42:06.000,right,tram,pcss_06-08-11-36
143,pcss,2025-08-06 11:42:06.260,2025-08-06 11:42:08.000,right,tram,pcss_06-08-11-36
144,pcss,2025-08-06 11:42:29.940,2025-08-06 11:42:31.380,left,tram,pcss_06-08-11-36
146,pcss,2025-08-06 11:42:35.500,2025-08-06 11:42:41.000,right,truck,pcss_06-08-11-36
145,pcss,2025-08-06 11:42:34.640,2025-08-06 11:42:43.520,right,truck,pcss_06-08-11-36
147,pcss,2025-08-06 11:42:56.020,2025-08-06 11:42:56.900,right,truck,pcss_06-08-11-36
148,pcss,2025-08-06 11:43:14.260,2025-08-06 11:43:15.560,right,tram,pcss_06-08-11-36
149,pcss,2025-08-06 11:43:15.880,2025-08-06 11:43:17.880,right,tram,pcss_06-08-11-36
150,pcss,2025-08-06 11:44:31.320,2025-08-06 11:44:32.080,right,truck,pcss_06-08-11-36
151,pcss,2025-08-06 11:44:55.680,2025-08-06 11:44:55.900,right,truck,pcss_06-08-11-36
152,pcss,2025-08-06 11:44:58.640,2025-08-06 11:44:58.840,right,truck,pcss_06-08-11-36
153,pcss,2025-08-06 11:45:22.760,2025-08-06 11:45:23.000,right,truck,pcss_06-08-11-36
154,pcss,2025-08-06 11:46:38.160,2025-08-06 11:46:39.640,right,truck,pcss_06-08-11-36
155,pcss,2025-08-06 11:46:57.180,2025-08-06 11:46:57.680,right,truck,pcss_06-08-11-36
156,pcss,2025-08-06 11:47:07.520,2025-08-06 11:47:07.840,right,truck,pcss_06-08-11-36
157,pcss,2025-08-06 11:47:09.260,2025-08-06 11:47:10.600,right,truck,pcss_06-08-11-36
159,pcss,2025-08-06 11:47:17.540,2025-08-06 11:47:19.520,right,tram,pcss_06-08-11-36
158,pcss,2025-08-06 11:47:15.880,2025-08-06 11:47:20.000,right,truck,pcss_06-08-11-36
160,pcss,2025-08-06 11:47:56.920,2025-08-06 11:47:57.260,right,truck,pcss_06-08-11-36
161,pcss,2025-08-06 11:48:02.560,2025-08-06 11:48:03.020,right,truck,pcss_06-08-11-36
162,pcss,2025-08-06 11:48:33.620,2025-08-06 11:48:34.400,right,truck,pcss_06-08-11-36
163,pcss,2025-08-06 11:48:37.700,2025-08-06 11:48:37.940,right,truck,pcss_06-08-11-36
164,pcss,2025-08-06 11:48:50.980,2025-08-06 11:48:51.000,right,truck,pcss_06-08-11-36
165,pcss,2025-08-06 11:50:13.260,2025-08-06 11:50:13.620,right,truck,pcss_06-08-11-36
166,pcss,2025-08-06 11:51:14.560,2025-08-06 11:51:19.140,right,tram,pcss_06-08-11-36
167,pcss,2025-08-06 11:51:18.960,2025-08-06 11:51:21.120,right,tram,pcss_06-08-11-36
168,pcss,2025-08-06 11:58:01.480,2025-08-06 11:58:02.900,right,tram,pcss_06-08-11-58
169,pcss,2025-08-06 11:58:44.620,2025-08-06 11:58:44.680,right,truck,pcss_06-08-11-58
170,pcss,2025-08-06 11:58:57.580,2025-08-06 11:58:57.800,right,truck,pcss_06-08-11-58
171,pcss,2025-08-06 11:59:07.940,2025-08-06 11:59:11.780,left,tram,pcss_06-08-11-58
172,pcss,2025-08-06 11:59:23.160,2025-08-06 11:59:24.600,right,truck,pcss_06-08-11-58
173,pcss,2025-08-06 11:59:25.240,2025-08-06 11:59:27.980,right,tram,pcss_06-08-11-58
174,pcss,2025-08-06 11:59:33.840,2025-08-06 11:59:34.260,right,truck,pcss_06-08-11-58
175,pcss,2025-08-06 11:59:38.720,2025-08-06 11:59:39.540,right,truck,pcss_06-08-11-58
176,pcss,2025-08-06 12:00:25.760,2025-08-06 12:00:25.760,unknown,truck,pcss_06-08-11-58
177,pcss,2025-08-06 12:00:41.340,2025-08-06 12:00:41.560,right,truck,pcss_06-08-11-58
178,pcss,2025-08-06 12:01:49.980,2025-08-06 12:01:52.080,left,tram,pcss_06-08-11-58
179,pcss,2025-08-06 12:02:22.820,2025-08-06 12:02:22.820,unknown,truck,pcss_06-08-11-58
180,pcss,2025-08-06 12:02:41.400,2025-08-06 12:02:47.260,left,tram,pcss_06-08-11-58
181,pcss,2025-08-06 12:02:49.780,2025-08-06 12:02:51.120,right,truck,pcss_06-08-11-58
182,pcss,2025-08-06 12:02:55.720,2025-08-06 12:02:56.600,right,truck,pcss_06-08-11-58
183,pcss,2025-08-06 12:03:10.460,2025-08-06 12:03:18.440,right,truck,pcss_06-08-11-58
184,pcss,2025-08-06 12:03:34.180,2025-08-06 12:03:35.660,right,truck,pcss_06-08-11-58
185,pcss,2025-08-06 12:04:45.420,2025-08-06 12:04:46.540,right,truck,pcss_06-08-11-58
186,pcss,2025-08-06 12:05:02.240,2025-08-06 12:05:02.400,right,truck,pcss_06-08-11-58
187,pcss,2025-08-06 12:05:37.920,2025-08-06 12:05:38.340,right,truck,pcss_06-08-11-58
188,pcss,2025-08-06 12:06:46.140,2025-08-06 12:06:48.620,right,truck,pcss_06-08-11-58
189,pcss,2025-08-06 12:06:51.280,2025-08-06 12:06:52.300,right,truck,pcss_06-08-11-58
190,pcss,2025-08-06 12:06:57.300,2025-08-06 12:06:58.800,right,truck,pcss_06-08-11-58
191,pcss,2025-08-06 12:07:07.260,2025-08-06 12:07:10.460,right,truck,pcss_06-08-11-58
192,pcss,2025-08-06 12:07:13.860,2025-08-06 12:07:14.060,right,truck,pcss_06-08-11-58
193,pcss,2025-08-06 12:08:38.840,2025-08-06 12:08:39.640,right,truck,pcss_06-08-11-58
194,pcss,2025-08-06 12:09:01.420,2025-08-06 12:09:02.420,right,truck,pcss_06-08-11-58
195,pcss,2025-08-06 12:09:05.280,2025-08-06 12:09:06.120,right,truck,pcss_06-08-11-58
196,pcss,2025-08-06 12:09:09.180,2025-08-06 12:09:09.400,right,truck,pcss_06-08-11-58
197,pcss,2025-08-06 12:10:40.800,2025-08-06 12:10:42.260,right,truck,pcss_06-08-11-58
198,pcss,2025-08-06 12:10:52.480,2025-08-06 12:10:53.740,right,truck,pcss_06-08-11-58
199,pcss,2025-08-06 12:10:58.880,2025-08-06 12:10:59.820,right,truck,pcss_06-08-11-58
200,pcss,2025-08-06 12:11:02.580,2025-08-06 12:11:06.180,left,tram,pcss_06-08-11-58
201,pcss,2025-08-06 12:11:07.880,2025-08-06 12:11:08.600,right,tram,pcss_06-08-11-58
202,pcss,2025-08-06 12:11:38.380,2025-08-06 12:11:39.160,left,tram,pcss_06-08-11-58
203,pcss,2025-08-06 12:11:48.280,2025-08-06 12:11:56.580,left,truck,pcss_06-08-11-58
204,pcss,2025-08-06 12:12:08.960,2025-08-06 12:12:09.360,right,truck,pcss_06-08-11-58
205,pcss,2025-08-06 12:12:26.020,2025-08-06 12:12:27.640,right,truck,pcss_06-08-11-58
206,pcss,2025-08-06 12:12:31.780,2025-08-06 12:12:33.000,right,truck,pcss_06-08-11-58
208,pcss,2025-08-06 12:12:49.240,2025-08-06 12:12:49.420,right,truck,pcss_06-08-11-58
207,pcss,2025-08-06 12:12:48.660,2025-08-06 12:12:52.840,right,truck,pcss_06-08-11-58
209,pcss,2025-08-06 12:13:10.440,2025-08-06 12:13:10.620,right,truck,pcss_06-08-11-58
210,pcss,2025-08-06 12:13:10.560,2025-08-06 12:13:12.300,right,truck,pcss_06-08-11-58
211,pcss,2025-08-06 12:13:52.860,2025-08-06 12:13:53.000,right,truck,pcss_06-08-11-58
212,pcss,2025-08-06 12:14:01.140,2025-08-06 12:14:04.660,right,tram,pcss_06-08-11-58
213,pcss,2025-08-06 12:14:36.340,2025-08-06 12:14:36.780,right,truck,pcss_06-08-11-58
214,pcss,2025-08-06 12:14:42.580,2025-08-06 12:14:42.700,right,truck,pcss_06-08-11-58
215,pcss,2025-08-06 12:14:57.940,2025-08-06 12:14:58.700,right,truck,pcss_06-08-11-58
216,pcss,2025-08-06 12:15:02.900,2025-08-06 12:15:02.960,right,truck,pcss_06-08-11-58
217,pcss,2025-08-06 12:15:09.980,2025-08-06 12:15:11.660,right,truck,pcss_06-08-11-58
218,pcss,2025-08-06 12:15:17.560,2025-08-06 12:15:21.420,right,truck,pcss_06-08-11-58
219,pcss,2025-08-06 12:16:23.260,2025-08-06 12:16:25.820,left,tram,pcss_06-08-11-58
220,pcss,2025-08-06 12:16:26.220,2025-08-06 12:16:26.320,right,truck,pcss_06-08-11-58
221,pcss,2025-08-06 12:16:28.660,2025-08-06 12:16:29.280,right,truck,pcss_06-08-11-58
222,pcss,2025-08-06 12:16:35.020,2025-08-06 12:16:36.580,right,truck,pcss_06-08-11-58
223,pcss,2025-08-06 12:17:01.080,2025-08-06 12:17:02.400,right,truck,pcss_06-08-11-58
224,pcss,2025-08-06 12:17:10.460,2025-08-06 12:17:14.340,left,tram,pcss_06-08-11-58
225,pcss,2025-08-06 12:18:29.220,2025-08-06 12:18:30.480,right,truck,pcss_06-08-11-58
226,pcss,2025-08-06 12:18:36.600,2025-08-06 12:18:38.160,right,truck,pcss_06-08-11-58
227,pcss,2025-08-06 12:18:52.380,2025-08-06 12:18:53.920,right,truck,pcss_06-08-11-58
228,pcss,2025-08-06 12:19:08.480,2025-08-06 12:19:10.100,right,truck,pcss_06-08-11-58
229,pcss,2025-08-06 12:19:19.980,2025-08-06 12:19:20.000,unknown,truck,pcss_06-08-11-58
230,pcss,2025-08-06 12:20:01.020,2025-08-06 12:20:01.560,left,truck,pcss_06-08-11-58
231,pcss,2025-08-06 12:20:28.700,2025-08-06 12:20:29.240,right,truck,pcss_06-08-11-58
232,pcss,2025-08-06 12:21:05.280,2025-08-06 12:21:05.880,right,truck,pcss_06-08-11-58
233,pcss,2025-08-06 12:21:28.020,2025-08-06 12:21:28.920,right,tram,pcss_06-08-11-58
234,pcss,2025-08-06 12:21:47.580,2025-08-06 12:21:47.740,right,truck,pcss_06-08-11-58
235,pcss,2025-08-06 12:22:15.900,2025-08-06 12:22:17.040,right,truck,pcss_06-08-11-58
236,pcss,2025-08-06 12:22:42.740,2025-08-06 12:22:42.840,right,truck,pcss_06-08-11-58
237,pcss,2025-08-06 12:22:55.120,2025-08-06 12:22:56.160,right,truck,pcss_06-08-11-58
238,pcss,2025-08-06 12:23:06.400,2025-08-06 12:23:06.400,unknown,truck,pcss_06-08-11-58
239,pcss,2025-08-06 12:23:20.500,2025-08-06 12:23:22.100,right,truck,pcss_06-08-11-58
240,pcss,2025-08-06 12:24:20.080,2025-08-06 12:24:20.240,right,truck,pcss_06-08-11-58
241,pcss,2025-08-06 12:24:24.000,2025-08-06 12:24:24.320,right,truck,pcss_06-08-11-58
242,pcss,2025-08-06 12:24:29.880,2025-08-06 12:24:30.980,right,truck,pcss_06-08-11-58
243,pcss,2025-08-06 12:24:36.340,2025-08-06 12:24:36.420,right,truck,pcss_06-08-11-58
244,pcss,2025-08-06 12:24:52.540,2025-08-06 12:24:52.740,right,truck,pcss_06-08-11-58
245,pcss,2025-08-06 12:25:38.140,2025-08-06 12:25:40.540,left,tram,pcss_06-08-11-58
246,pcss,2025-08-06 12:25:55.400,2025-08-06 12:25:56.540,left,truck,pcss_06-08-11-58
247,pcss,2025-08-06 12:26:39.560,2025-08-06 12:26:39.700,right,truck,pcss_06-08-11-58
248,pcss,2025-08-06 12:26:53.640,2025-08-06 12:26:57.880,left,tram,pcss_06-08-11-58
249,pcss,2025-08-06 12:27:01.040,2025-08-06 12:27:01.520,right,truck,pcss_06-08-11-58
250,pcss,2025-08-06 12:27:02.920,2025-08-06 12:27:03.820,right,truck,pcss_06-08-11-58
251,pcss,2025-08-06 12:27:15.360,2025-08-06 12:27:16.560,right,truck,pcss_06-08-11-58
